system:index,forest_lab,id,max_ndvi,mean_ndvi,min_ndvi,ndvi_01,ndvi_02,ndvi_03,ndvi_04,ndvi_05,ndvi_06,ndvi_07,ndvi_08,ndvi_09,ndvi_10,ndvi_11,ndvi_12,ndvi_amplitude,rand,subset,.geo
00000000000000000052_0,1,AL_110150052,0.9150011539459229,0.7559891194105148,0.46633416414260864,0.53521127,0.46633416,0.5506411,0.8928111,0.91500115,0.8968665,0.8738153,0.88506174,0.91264063,0.88695973,0.6818182,0.5747085,0.4486669898033142,0.110150052625088,edge,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000053_0,1,AL_111285249,0.8631176352500916,0.8028272142012914,0.7285491824150085,0.83668095,0.7285492,0.77744406,0.80053926,0.7873563,0.76968795,0.77349585,0.78528905,0.82278967,0.84644186,0.8425348,0.86311764,0.134568452835083,0.111285249320827,edge,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000056_0,1,AL_113048144,0.8668997883796692,0.7836088910698891,0.46950802206993103,0.7580994,0.7053824,0.46950802,0.8495408,0.8634348,0.84145236,0.6879875,0.84020627,0.8408916,0.8667724,0.8668998,0.81313133,0.39739176630973816,0.113048144824363,edge,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000059_0,1,AL_118993940,0.879889190196991,0.6976511652270952,0.3987836539745331,0.56153077,0.5255188,0.64025277,0.84890044,0.8798892,0.8497935,0.8503001,0.8377018,0.39878365,0.77047616,0.6533333,0.55533355,0.4811055362224579,0.118993940032424,edge,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005f_0,1,AL_129267757,0.8079397678375244,0.6353282307585081,0.3842034935951233,0.3842035,0.43852606,0.6076555,0.6758828,0.66049385,0.77375793,0.6977848,0.7645103,0.80793977,0.69561684,0.5885378,0.5290296,0.4237362742424011,0.129267757703065,edge,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000067_0,1,AL_137585385,0.8983797430992126,0.8766897469758987,0.8172138333320618,0.89400655,0.88678175,0.85797256,0.8692579,0.81721383,0.8663184,0.8854626,0.87530506,0.8890067,0.88669014,0.89388174,0.89837974,0.08116590976715088,0.137585385397436,edge,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000068_0,1,AL_140884993,0.9119496941566467,0.7008443251252174,0.4545454680919647,0.5131212,0.45454547,0.563466,0.90862983,0.9074956,0.9119497,0.50822264,0.82608044,0.8161714,0.78583544,0.70345217,0.511162,0.457404226064682,0.140884993373508,edge,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000070_0,1,AL_153425740,0.8594342470169067,0.7991422514120737,0.6990324258804321,0.7525497,0.6990324,0.706377,0.85943425,0.8554782,0.8480675,0.81846905,0.80522466,0.84052324,0.82317597,0.81929314,0.7620818,0.1604018211364746,0.153425740951365,edge,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007c_0,1,AL_175005265,0.9187847971916199,0.661355917652448,0.3616850972175598,0.38895705,0.4225936,0.450867,0.8115793,0.85496277,0.8926804,0.9187848,0.8821206,0.3616851,0.8487395,0.6422764,0.4610245,0.5570996999740601,0.175005265442274,edge,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000083_0,1,AL_192474805,0.8192346096038818,0.7200515220562617,0.3304733633995056,0.6412196,0.6202162,0.7219222,0.8148277,0.75905246,0.8192346,0.7669173,0.8165481,0.79642737,0.8162963,0.33047336,0.7374831,0.4887612462043762,0.192474805414961,edge,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000084_0,1,AL_196870413,0.7504507303237915,0.6936371177434921,0.6568460464477539,0.6950235,0.68032134,0.6642273,0.6593301,0.66594845,0.6731145,0.6865539,0.725853,0.65684605,0.74059033,0.7253862,0.75045073,0.0936046838760376,0.196870413272051,edge,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000086_0,1,AL_198761774,0.7774346470832825,0.6970322132110596,0.5847280621528625,0.6279297,0.58472806,0.5976951,0.7321848,0.7481637,0.77743465,0.76478416,0.74700826,0.74075854,0.7233633,0.6902205,0.6301158,0.19270658493041992,0.198761774471672,edge,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008c_0,1,AL_208055632,0.8895226716995239,0.8182087987661362,0.7379575967788696,0.78066754,0.7379576,0.74199593,0.85024,0.87767935,0.88344836,0.8895227,0.807969,0.8532877,0.8203689,0.7989808,0.7763878,0.1515650749206543,0.208055632617944,edge,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000094_0,1,AL_215072002,0.8031294345855713,0.6490931635101637,0.37739038467407227,0.71040446,0.6714605,0.6322659,0.6762243,0.66100544,0.37739038,0.6892562,0.7022204,0.4503018,0.69000304,0.80312943,0.7254561,0.425739049911499,0.215072002393427,edge,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000095_0,1,AL_215262179,0.8150972127914429,0.7219850967327753,0.556639552116394,0.70379746,0.6009893,0.55663955,0.7851806,0.8150972,0.69394433,0.71476233,0.75867134,0.74662244,0.7948718,0.74018854,0.7530562,0.25845766067504883,0.215262179172498,edge,"{""type"":""MultiPoint"",""coordinates"":[]}"
